AuthorID;PhenotypeID
54537;97567575
35191;64967874
81798;12277982
63281;83068074
37338;59932291
90994;32811637
80197;6141608
82402;46922324
81919;25560936
74135;28268735
46431;81332561
12805;95385543
81077;75074833
92208;5733905
32758;94979075
51890;19539730
41547;23200151
51084;22882080
40583;36798225
73800;18286667
25926;28064207
22546;79169530
97824;86662580
66170;81625485
76337;95119431
13298;44637612
29554;33974145
64016;91090588
86628;41163147
93168;69466842
39690;62877461
27372;69279476
76291;23554844
89600;73897265
98634;70239653
24656;13312260
81298;26328519
47059;82970133
93050;62948921
28258;88795948
98817;56185859
36759;5795017
50851;95493169
28707;76589059
80154;90110001
58171;81332561
68843;69279476
98967;95385543
59039;37991046
92208;59918800
40982;12277982
52871;28720844
75341;84271689
81325;41750368
17094;11157900
45978;45777016
97650;45427966
68069;63025093
76291;79051833
19341;13563239
91162;22307816
96124;24635674
19156;12798764
60320;42041824
32078;71138349
50577;30620041
87655;95567656
52522;85587939
44971;64806735
32764;34115401
91040;39473332
69824;82312347
79576;22019582
48523;10665011
91040;97603112
36074;86268559
17060;5013545
43878;36609593
89600;50404821
38077;46249516
18965;63386886
27404;31706329
19284;25697005
98670;73479520
94502;81272952
31095;96305445
24631;61343700
57214;73479520
88042;27606998
88909;83260880
20655;43829472
15437;58023014
89773;15888089
49675;87728664
15437;8452822
24002;94979075
88849;31234490
38356;20668619
96085;30721995
93676;44315161
62293;92316341
82264;23773408
28161;15346538
81298;87952912
52871;99766167
49236;6757456
28598;96305445
39690;57239765
37560;66960027
15437;71369248
41491;42041824
16453;66960027
32791;35770425
63569;74321777
95948;15196819
93676;12656478
70150;63805984
61303;83491616
74351;7661323
94859;62768460
18822;67645201
13799;84160892
62293;75321301
30519;25134136
85356;26660137
19463;85692560
55950;27938808
62754;35770425
74610;73795156
20655;26735723
89917;82569441
93491;46034217
50851;82735533
71444;31770034
99179;99094220
66283;28639688
64032;44547012
22063;98797541
27532;60904730
46697;88323434
27014;89377548
76320;97232420
27014;45659756
25243;28833851
49675;44946889
94752;62948921
74285;60854920
94859;92329877
84072;62505040
91810;67007821
45428;87848550
68825;19492765
32134;25134136
40982;48982674
31006;87967224
35191;6985433
37082;51893856
18716;32453517
55402;11379545
63473;88873765
98627;15012367
74210;28479259
22876;59631848
66170;14912435
50675;91205510
21450;90110001
43360;9352487
90825;73479520
98103;9273519
13376;15545578
27458;6741074
90140;52252592
75823;26505387
97824;12954255
75804;81627037
51890;66020161
13782;62655042
40349;93586131
97456;66277187
53024;15540134
93893;57642901
93174;65720675
10408;86436664
25243;25605297
19187;90832476
19393;29430161
70261;1646716
88874;12798764
47494;1513366
43288;25560936
71532;57525161
32747;68950401
39791;90323651
88779;83491616
17855;37161652
13317;70340492
44765;35909788
24948;93039468
14251;82735533
63281;98827157
32047;98759780
72017;78656283
30713;44357451
16059;22359738
39791;42578714
64985;23200151
80156;88126627
98817;13563239
75423;69466842
28258;59843475
81343;40624284
44340;43990753
80863;62948921
15905;74321777
16166;75695762
21410;92956070
16784;73795156
55446;23773408
33642;81841924
64925;71617619
31006;20366334
52522;10206726
23330;95814432
90487;84433507
20780;89314216
71445;91566873
88137;59471823
91162;37138825
87415;75074833
50577;41163147
18716;19087997
48505;25126957
67157;84620935
92408;64194024
43878;82802313
65956;7661323
31006;3657551
35469;9290778
11666;20668619
45742;91566873
57071;44666818
20384;19468788
27059;49457118
50675;24677983
78063;82059726
74885;44866787
84958;76424446
45726;25126957
25926;92316341
88779;90006035
91141;54033538
73711;66222058
98724;82868413
61044;76934755
84174;35770425
25840;47404878
90140;60853323
31873;29215979
96624;90268597
32047;37161652
55994;4007022
45974;38237426
42013;59918800
88779;2582184
68593;85692560
92397;80087617
62586;18382874
79630;94903301
80615;64967874
59982;63025093
19341;18000705
68827;16449714
47078;22307816
44765;67414573
15022;87000576
44337;99417788
29593;38564411
50373;6757456
80546;27908049
36302;30620041
20450;40193968
80156;68330520
20812;27567365
55286;42129353
53172;83795173
21300;37720157
29156;50112329
24863;63464032
84980;51880162
22468;79723274
13255;76339899
45710;89544637
26753;34215455
76666;12629399
72869;74275776
42179;70908870
66170;22307816
75685;15299111
25167;80760247
36302;93904753
70150;82517449
50460;44666818
74215;35770425
85010;54356705
96018;74812244
61303;21610224
80197;43813594
29122;86574341
18716;82868413
63473;19539730
70741;9327576
78706;39598964
14583;18747183
58171;19468788
98473;1513366
37314;6141608
38933;1374828
28707;54314461
66633;79755779
48523;93883477
82402;18125059
20229;54356705
96374;2574238
96561;62091660
68593;81916590
20780;88767595
80863;28833851
11562;38203442
66041;46922324
44971;8826042
18809;34049285
16453;68469783
65986;51580921
71418;89703749
68843;60788709
92207;47745584
98759;71133513
28524;11033944
17361;98331265
79427;99398479
69284;94903301
97714;66580137
19187;44518399
90487;47028304
42179;12629399
61014;81627037
50851;9290778
93659;23554844
83963;66422021
29370;41750368
70490;47745584
98009;62994015
55136;51135223
67964;45451618
42545;99094220
40502;20054858
33926;67172629
62448;9094315
62239;33617192
29460;44480195
93349;49799297
85630;59246109
57978;54314461
56137;90096693
67112;77188692
94244;15299111
49428;38203442
93893;47404878
20450;78138777
60492;37181434
86628;97189872
80165;24677983
75800;64967874
34933;30346518
36372;12277982
